be_cf_id,title,doi_url,document_type
51730885,Enhancement of Hydrogen Gas Sensing of Nanocrystalline Nickel Oxide by Pulsed-Laser Irradiation,http://doi.org/10.1021/AM301024A,original_research
51763123,Release Factor One Is Nonessential in Escherichia coli,http://doi.org/10.1021/CB300229Q,original_research
51807463,Assembly of CuIn 1- x Ga x S 2 Nanorods into Highly Ordered 2D and 3D Superstructures,http://doi.org/10.1021/NN301999B,original_research
52232698,"Conservation status of vegetation in the North and Central area of Pardiela river basin (Ìävora, Portugal)",http://doi.org/10.1080/12538078.2012.696932,original_research
53527488,Large Theropod Dinosaur Footprint Associations in Western Gondwana: Behavioural and Palaeogeographic Implications,http://doi.org/10.4202/APP.2010.0119,original_research
53700244,Vasomotion - what is currently thought?,http://doi.org/10.1111/J.1748-1716.2011.02320.X,original_research
53708615,A sequential analysis of democratic deliberation,http://doi.org/10.1057/AP.2012.15,original_research
53926493,Comentario a: ÒLinfadenectom’a retroperitoneal laparosc—pica primaria para el tumor testicular de c_lulas germinales no seminomatoso en estadio cl’nico IÓ,http://doi.org/10.1016/J.ACURO.2010.11.005,not_in_english
53948064,Exploring how social media can enhance the teaching of action research,http://doi.org/10.1177/1476750311424945,original_research
53951824,Towards an international culture: Gen Y students and SNS?,http://doi.org/10.1177/1469787412441289,original_research
53983060,"A Natural Little Girl: Reproduction and Naturalism in The Bad Seed as Novel, Play, and Film",http://doi.org/10.1093/ADAPTATION/APQ003,original_research
54118547,Returning to China: The Experience of Adopted Chinese Children and Their Parents,http://doi.org/10.1080/10926755.2010.481039,original_research
54759391,"Control, politics and identity in the Angolan Civil War",http://doi.org/10.1093/AFRAF/ADS028,original_research
54772441,Finding Meaning in Ancient Swahili Spatial Practices,http://doi.org/10.1007/S10437-012-9121-0,original_research
54774665,Iconoclash in the Age of Heritage,http://doi.org/10.1162/AFAR_A_00007,original_research
54862926,Accidents Have No Cure! Road Death as Industrial Catastrophe in Eastern Africa,http://doi.org/10.1080/00020184.2012.702964,original_research
55211067,The Diversity Quality Cycle: driving culture change through innovative governance,http://doi.org/10.1007/S00146-012-0381-7,original_research
55274660,Optimization of Stiffness Characteristics for the Design of Bistable Composite Laminates,http://doi.org/10.2514/1.J051535,original_research
55470007,Mapping community viral load and social boundaries,http://doi.org/10.1097/QAD.0B013E328354F58A,response
55769801,Letter: the effects of preoperative infliximab on complications after surgery for ulcerative colitis,http://doi.org/10.1111/APT.12094,response
55878717,The Tin Trade and Medieval Ceramics: Tracing the Sources of Tin and its Influence on Mediterranean Ceramics Production,http://doi.org/10.1080/09503110.2011.617061,original_research
56273194,Relational Formalism and the Construction of Financial Instruments,http://doi.org/10.1111/J.1744-1714.2011.01117.X,original_research
56388641,Comment: Generational Turns,http://doi.org/10.1086/AHR.117.3.804,editorial_or_commentary
56563795,Imprisoned Minds,http://doi.org/10.1353/AIM.2011.0022,original_research
56563822,"James McLaughlin: ""Gentle Radical""",http://doi.org/10.1353/AIM.2010.0023,original_research
56564037,"A Hungarian Precursor of Attachment Theory: Ferenczi's Successor, Imre Hermann",http://doi.org/10.1353/AIM.0.0068,original_research
56942129,Corruption's Effect on Business Venturing Within the United States,http://doi.org/10.1111/J.1536-7150.2009.00665.X,original_research
57033871,Reframing ‰ÛÏReframing‰Ûù: Another Look at ‰ÛÏReframing‰Ûù Inspired by a Sonnet by Charles Baudelaire,http://doi.org/10.1080/01926187.2010.537239,original_research
57433234,Introduction: Behavioral phenotypes in neurogenetic syndromes,http://doi.org/10.1002/AJMG.C.30285,not_in_english
57959869,The laborist model of obstetric care: we need more evidence,http://doi.org/10.1016/J.AJOG.2011.10.009,original_research
58123765,Cassius Dio‰Ûªs Agrippa-Maecenas Debate: An Operational Code Analysis,http://doi.org/10.1353/AJP.2012.0029,original_research
59388849,Wallace Stevens's Fascist Dilemmas and Free Market Resolutions,http://doi.org/10.1093/ALH/AJR006,original_research
59927966,Clinical aspects of hepatic disease,http://doi.org/10.1016/J.MPAIC.2011.11.012,original_research
61600813,Environmental Performance and Executive Compensation: An Integrated Agency-Institutional Perspective,http://doi.org/10.5465/AMJ.2009.36461950,original_research
61773868,"A research note on accounting in Brazil in the context of political, economic and social transformations, 1860-1964",http://doi.org/10.1177/1032373210373799,original_research
61839483,Single Polymer Studies of Hydrophobic Hydration,http://doi.org/10.1021/AR200285H,original_research
77231345,Carbon Nanotubes Press-Transferred on PMMA Substrates as Exclusive Transducers for Electrochemical Microfluidic Sensing,http://doi.org/10.1021/AC303049X,original_research
77689321,Polypropylene-Based Microextraction Method for Determination of Fluoxetine in Human Urine Samples,http://doi.org/10.1080/00032719.2012.677974,original_research
77724794,Bayesian statistics in action,http://doi.org/10.1039/C2AY90023H,other
78623364,Host limitation of the thick-shelled river mussel: identifying the threats to declining affiliate species,http://doi.org/10.1111/J.1469-1795.2012.00546.X,original_research
79098897,Evaluating temporally weighted kernel density methods for predicting the next event location in a series,http://doi.org/10.1080/19475683.2012.691904,original_research
79512659,The composite absolute penalties family for grouped and hierarchical variable selection,http://doi.org/10.1214/07-AOS584,original_research
80027320,Simultaneous Fenestration with Stent Implantation for Acute Limb Ischemia due to Type B Acute Aortic Dissection Complicated with Both Static and Dynamic Obstructions,http://doi.org/10.5761/ATCS.CR.11.01712,original_research
80619570,Investigating perceptual differences between two trumpets of the same model type,http://doi.org/10.1016/J.APACOUST.2011.05.014,original_research
80774531,Scale-perception bias in the valuation of environmental risks,http://doi.org/10.1080/00036846.2011.566188,original_research
80798406,The dynamics of Italian public debt: alternative paths for fiscal consolidation,http://doi.org/10.1080/13504851.2011.591726,original_research
81366714,Optical full Hadamard matrix multiplexing and noise effects: errata,http://doi.org/10.1364/AO.50.006092,academic_bugfix
82380081,"Current Urban Discourse, Urban Transformation and Gentrification in Istanbul",http://doi.org/10.1002/AD.1011,original_research
82385806,Innovations in the Brazilian regulations for energy efficiency of residential buildings,http://doi.org/10.1080/00038628.2011.641731,original_research
84141205,Lactation stage and udder health status of Santa Ines ewes,http://doi.org/10.1590/S0102-09352012000200034,original_research
84188372,ÔSudden gleams of (f)lightÕ: ÔIntuition as MethodÕ?,http://doi.org/10.1111/J.1467-8365.2011.00824.X,no_idea
84384350,A model of juridical acts: part 1: the world of law,http://doi.org/10.1007/S10506-011-9105-4,original_research
86603395,NAC transcription factors in plant abiotic stress responses,http://doi.org/10.1016/J.BBAGRM.2011.10.005,original_research
91207068,Multimerized siRNA Cross-linked by Gold Nanoparticles,http://doi.org/10.1021/BC200172P,original_research
91225025,The hitchhiker‰Ûªs guide to alien ant invasions,http://doi.org/10.1007/S10526-011-9370-X,original_research
91285598,Mini review: Biomimetic models and bioinspired surfaces for fouling control,http://doi.org/10.1080/08927014.2010.536837,original_research
91297008,"Preface ""Modeling soil system: complexity under your feet""",http://doi.org/10.5194/BG-8-3139-2011,not_in_english
92342911,Bacillus anthracis-derived edema toxin (ET) counter-regulates movement of neutrophils and macromolecules through the endothelial paracellular pathway,http://doi.org/10.1186/1471-2180-12-2,original_research
93083865,20 YEAR OLD LADY WITH A PARASPINAL MASS,http://doi.org/10.1111/J.1750-3639.2010.00382.X,not_in_english
93565225,Questionnaire severity measures for depression,http://doi.org/10.3399/BJGP11X572337,response
95919120,Is that girl a monster? Some notes on authenticity and artistic value in Lady Gaga,http://doi.org/10.1080/19392397.2012.679481,original_research
97382779,Writing Up Your Research Results for Publication,http://doi.org/10.1378/CHEST.08-2620,other
97869632,Prevention of Atherosclerosis in Overweight/Obese Patients,http://doi.org/10.1253/CIRCJ.CJ-10-1240,original_research
99051211,Erratum to: Gustilo-Anderson Classification,http://doi.org/10.1007/S11999-012-2642-7,academic_bugfix
99151546,Mood disorders in everyday life: A systematic review of experience sampling and ecological momentary assessment studies,http://doi.org/10.1016/J.CPR.2012.05.007,original_research
99252723,Health care reform in the United States: So near and yet so far,http://doi.org/10.1016/J.CLINTHERA.2010.03.011,not_in_english
99583072,ÒReprint of Numerical simulation of multi-component mass transfer in rigid or circulating drops: Multi-component effects even in the presence of weak couplingÓ,http://doi.org/10.1016/J.COLSURFA.2011.04.021,original_research
99764202,"Unification, simplification, amplification? An analysis of aspects of the British Equality Act 2010",http://doi.org/10.1080/03050718.2012.695001,original_research
100745186,Middleware for Clouds and e-Science,http://doi.org/10.1002/CPE.1910,editorial_or_commentary
100801086,"""Something Else Besides"": Uttering the Unutterable in Lord Jim",http://doi.org/10.1353/CND.2011.0018,original_research
102042361,Hypertension and Childhood Obesity: A Whirling Tango. A Review of the Dance Steps,http://doi.org/10.2174/157340212804546071,original_research
102561797,Bookshelf: a simple curation system for the storage of biomolecular simulation data,http://doi.org/10.1093/DATABASE/BAQ033,original_research
103689891,ICF Core Set for vocational rehabilitation: results of an international consensus conference,http://doi.org/10.3109/09638288.2011.608145,meeting_summary
104407291,Lessons from a collapse of a financial system,http://doi.org/10.1111/J.1468-0327.2011.00260.X,original_research
104510941,Review of G. Kitching The Trouble with Theory,http://doi.org/10.1111/J.1469-5812.2009.00521.X,media_review
